time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/n_updates,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/clip_range,train/loss,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
1,768,13,56,,,,,,,,,,,,
2,1536,11,129,10,5.396576247612635,0.00025,-0.014102488212908307,-0.009991884231567383,-1.943470087647438,0.00786353,0.3,0.13347943127155304,0.005078125,,
3,2304,11,207,20,47.163472970326744,0.00025,-0.02828745891650518,0.02268993854522705,-1.9114477316538492,0.017533613,0.3,2.1147210597991943,0.056640625,,
4,3072,11,272,30,36.982759364446004,0.00025,-0.014008967811241746,0.1289680004119873,-1.9045712898174922,0.010028501,0.3,1.926660418510437,0.0046875,-34.36668014526367,900.0
5,3840,10,351,40,45.32903521060943,0.00025,-0.00878291721455753,-0.1650094985961914,-1.8887092729409536,0.008111493,0.3,0.9067607522010803,0.003125,-34.36668014526367,900.0
6,4608,10,441,50,9.313208496570587,0.00025,-0.013241304612408081,0.1541379690170288,-1.8832339823246003,0.006475983,0.3,0.4932067096233368,0.0014322916666666666,-34.36668014526367,900.0
7,5376,9,539,60,9.500025049845378,0.00025,-0.01814508457512905,0.3229685425758362,-1.8379547129074731,0.018674502,0.3,0.4249080717563629,0.025260416666666667,-34.36668014526367,900.0
8,6144,10,606,70,16.273070351282755,0.00025,-0.020961776732777555,0.3127031922340393,-1.7176611810922622,0.018107722,0.3,0.8863022923469543,0.04583333333333333,-34.52667236328125,900.0
9,6912,10,687,80,2.4433086355527243,0.00025,-0.01823148278829952,0.3293694257736206,-1.8072607318560283,0.013900931,0.3,0.03175513446331024,0.01484375,-34.52667236328125,900.0
10,7680,9,790,90,15.613347780704498,0.00025,-0.018417878332547842,0.3764427900314331,-1.6899641623099646,0.009599212,0.3,0.6631909608840942,0.03203125,-34.52667236328125,900.0
11,8448,9,873,100,42.83536236286163,0.00025,-0.010486221841226022,0.15441113710403442,-1.6151934872070948,0.005885562,0.3,1.585568904876709,0.010677083333333334,-38.37113952636719,900.0
12,9216,9,948,110,8.338456841309865,0.00025,-0.013779551683304211,-0.130926251411438,-1.7709781527519226,0.012860383,0.3,0.06733845174312592,0.029817708333333335,-38.37113952636719,900.0
