vehicle_id,depart_time,arrive_time,waiting_time,is_controlled_vehicle,is_teleported_vehicle
veh14944,25745.0,,100.0,True,False
veh14949,25750.0,,79.0,True,False
truck3783,25750.0,,463.0,False,False
bike3168,25750.0,25925.0,0.0,False,False
veh14954,25755.0,,306.0,True,False
veh14959,25760.0,,199.0,False,False
veh14964,25765.0,,474.0,False,False
truck3788,25765.0,,747.0,False,False
veh14969,25770.0,,109.0,True,False
veh14974,25775.0,,829.0,False,False
bike3175,25775.0,26815.0,199.0,False,False
veh14979,25780.0,27050.0,895.0,False,False
truck3793,25780.0,,283.0,False,False
veh14984,25785.0,,12.0,False,False
bike3178,25785.0,,403.0,False,False
veh14986,25790.0,,126.0,False,False
veh14989,25790.0,,171.0,False,False
truck3798,25795.0,,510.0,True,False
bike3182,25800.0,,0.0,False,False
veh15004,25805.0,,378.0,False,False
veh15009,25810.0,,28.0,False,False
truck3803,25810.0,,418.0,False,False
veh15014,25815.0,,29.0,False,False
veh15019,25820.0,25980.0,26.0,False,False
veh15024,25825.0,,77.0,False,False
truck3808,25825.0,,351.0,False,False
veh15029,25830.0,,285.0,False,False
veh15034,25835.0,,166.0,False,False
veh15039,25840.0,26540.0,202.0,True,False
truck3813,25840.0,,189.0,False,False
truck3814,25845.0,26095.0,91.0,False,False
veh15044,25845.0,,329.0,True,False
bike3196,25850.0,,355.0,True,False
veh15054,25855.0,26415.0,235.0,True,False
truck3818,25855.0,,336.0,False,False
veh15059,25860.0,,595.0,False,False
veh15064,25865.0,26425.0,89.0,True,False
veh15069,25870.0,,11.0,False,False
truck3823,25870.0,,0.0,False,False
veh15074,25875.0,26855.0,555.0,True,False
bike3203,25875.0,26655.0,360.0,False,True
veh15079,25880.0,,33.0,False,False
truck3828,25885.0,,0.0,False,False
moto219,25885.0,26140.0,94.0,False,False
veh15089,25890.0,,113.0,False,False
veh15099,25900.0,,0.0,False,False
truck3833,25900.0,,438.0,False,False
veh15104,25905.0,,880.0,False,False
veh15109,25910.0,,383.0,False,False
truck3838,25915.0,,904.0,False,False
veh15119,25920.0,26225.0,87.0,False,False
veh15124,25925.0,,121.0,False,False
bike3217,25925.0,,7.0,False,False
veh15129,25930.0,,11.0,False,False
truck3843,25930.0,,0.0,False,False
veh15134,25935.0,26520.0,126.0,False,False
veh15139,25940.0,,212.0,False,False
veh15144,25945.0,,362.0,True,False
truck3848,25945.0,,495.0,False,False
veh15149,25950.0,,142.0,False,False
bike3224,25950.0,,153.0,False,False
veh15154,25955.0,,165.0,True,False
veh15159,25960.0,26205.0,42.0,True,False
truck3853,25960.0,,432.0,False,False
veh15164,25965.0,,330.0,False,False
veh15169,25970.0,,104.0,True,False
veh15174,25975.0,,139.0,False,False
truck3858,25975.0,,246.0,False,False
bike3231,25975.0,26685.0,55.0,False,False
veh15179,25980.0,,163.0,False,False
veh15184,25985.0,,453.0,False,False
veh15189,25990.0,,293.0,True,False
truck3863,25990.0,,321.0,False,False
bike3235,25990.0,,157.0,True,False
veh15194,25995.0,,34.0,True,False
veh15199,26000.0,,88.0,False,False
veh15204,26005.0,,756.0,False,False
truck3868,26005.0,26515.0,69.0,False,False
veh15209,26010.0,,0.0,False,False
veh15214,26015.0,,389.0,False,False
truck3873,26020.0,,230.0,False,False
veh15224,26025.0,,174.0,False,False
bike3245,26025.0,,159.0,True,False
veh15234,26035.0,,115.0,True,False
veh15239,26040.0,27200.0,433.0,False,False
veh15244,26045.0,,50.0,False,False
veh15249,26050.0,,587.0,True,False
bike3252,26050.0,,99.0,False,False
veh15254,26055.0,,11.0,False,False
veh15259,26060.0,,165.0,False,False
veh15264,26065.0,,40.0,False,False
bike3256,26065.0,,0.0,False,False
moto224,26065.0,,350.0,False,False
veh15269,26070.0,,375.0,True,False
veh15274,26075.0,26550.0,100.0,False,False
veh15279,26080.0,26510.0,100.0,False,False
veh15284,26085.0,,309.0,True,False
veh15293,26095.0,,476.0,False,False
veh15294,26095.0,,133.0,False,False
veh15299,26100.0,26585.0,152.0,False,False
truck3899,26105.0,,588.0,False,False
veh15304,26105.0,,530.0,True,False
veh15314,26115.0,,86.0,False,False
bike3270,26115.0,,7.0,True,False
veh15317,26120.0,,337.0,True,False
veh15319,26120.0,,15.0,False,False
veh15324,26125.0,,77.0,False,False
veh15329,26130.0,,305.0,False,False
veh15334,26135.0,,72.0,True,False
veh15339,26140.0,,237.0,False,False
truck3913,26140.0,,74.0,False,False
bike3277,26140.0,,54.0,False,False
veh15342,26145.0,,826.0,True,False
veh15344,26145.0,26860.0,308.0,False,False
veh15349,26150.0,,0.0,False,False
veh15354,26155.0,,815.0,True,False
truck3918,26155.0,26895.0,341.0,True,False
veh15359,26160.0,26365.0,3.0,False,False
veh15364,26165.0,,334.0,False,False
bike3284,26165.0,,71.0,False,False
truck3923,26170.0,,415.0,False,False
veh15374,26175.0,,361.0,True,False
veh15379,26180.0,,26.0,False,False
bike3291,26190.0,,290.0,False,False
veh15394,26195.0,,306.0,False,False
veh15399,26200.0,,485.0,False,False
truck3933,26200.0,26525.0,67.0,False,False
veh15404,26205.0,,269.0,False,False
veh15409,26210.0,27085.0,460.0,True,False
veh15414,26215.0,,880.0,False,False
truck3938,26215.0,,579.0,True,False
bike3298,26215.0,,158.0,False,False
veh15419,26220.0,,55.0,False,False
veh15424,26225.0,27085.0,350.0,False,False
veh15429,26230.0,,270.0,False,False
truck3943,26230.0,,84.0,False,False
bike3302,26230.0,26710.0,21.0,False,False
veh15434,26235.0,,133.0,True,False
truck3946,26240.0,,19.0,False,False
veh15439,26240.0,,162.0,False,False
bike3305,26240.0,,121.0,False,False
veh15444,26245.0,26490.0,79.0,True,False
truck3948,26245.0,,64.0,False,False
moto229,26245.0,,18.0,False,False
veh15449,26250.0,27835.0,712.0,False,False
veh15452,26255.0,,1.0,False,False
veh15454,26255.0,,836.0,False,False
bike3309,26255.0,,150.0,False,False
veh15459,26260.0,,295.0,False,False
truck3953,26260.0,,51.0,False,False
veh15464,26265.0,,270.0,False,False
bike3312,26265.0,,477.0,True,False
veh15469,26270.0,26680.0,136.0,False,False
truck3958,26275.0,,214.0,False,False
veh15479,26280.0,,44.0,False,False
veh15484,26285.0,,813.0,False,False
veh15489,26290.0,,15.0,False,False
truck3963,26290.0,27995.0,715.0,True,False
bike3319,26290.0,,240.0,False,False
veh15494,26295.0,,188.0,False,False
