vehicle_id,depart_time,arrive_time,waiting_time,is_controlled_vehicle
bike3178,25785.0,,303.0,False
veh14989,25790.0,,187.0,False
truck3798,25795.0,,341.0,False
bike3182,25800.0,,0.0,False
veh15004,25805.0,,145.0,False
veh15009,25810.0,,110.0,False
truck3803,25810.0,27050.0,429.0,False
veh15014,25815.0,,109.0,False
veh15019,25820.0,,20.0,False
veh15024,25825.0,,96.0,False
truck3808,25825.0,28215.0,696.0,True
veh15029,25830.0,,202.0,False
veh15034,25835.0,26525.0,191.0,False
veh15039,25840.0,27150.0,786.0,False
truck3813,25840.0,26510.0,223.0,False
veh15044,25845.0,,750.0,True
bike3196,25850.0,,303.0,True
veh15054,25855.0,,199.0,True
truck3818,25855.0,,363.0,False
veh15059,25860.0,,589.0,False
veh15064,25865.0,,210.0,False
veh15069,25870.0,,13.0,False
truck3823,25870.0,,3.0,False
veh15074,25875.0,28305.0,674.0,True
bike3203,25875.0,26365.0,59.0,False
veh15079,25880.0,26060.0,34.0,False
truck3828,25885.0,,0.0,False
moto219,25885.0,,102.0,False
veh15089,25890.0,,83.0,False
veh15099,25900.0,,0.0,False
truck3833,25900.0,,647.0,True
veh15100,25905.0,26110.0,46.0,False
veh15104,25905.0,,925.0,True
veh15109,25910.0,,409.0,False
truck3838,25915.0,,896.0,True
veh15119,25920.0,,13.0,False
veh15124,25925.0,,11.0,False
bike3217,25925.0,,77.0,False
veh15129,25930.0,,101.0,False
truck3843,25930.0,,4.0,False
veh15134,25935.0,,45.0,False
veh15139,25940.0,,167.0,False
veh15144,25945.0,,526.0,True
truck3848,25945.0,,391.0,False
veh15149,25950.0,26565.0,174.0,False
bike3224,25950.0,,146.0,False
veh15154,25955.0,,877.0,False
veh15159,25960.0,,129.0,False
truck3853,25960.0,,435.0,False
veh15164,25965.0,,191.0,False
veh15169,25970.0,,66.0,False
veh15174,25975.0,,150.0,False
truck3858,25975.0,,344.0,False
bike3231,25975.0,26690.0,57.0,False
veh15179,25980.0,26885.0,224.0,False
veh15184,25985.0,,435.0,False
veh15189,25990.0,,734.0,False
truck3863,25990.0,,346.0,False
bike3235,25990.0,,263.0,True
veh15194,25995.0,,76.0,False
veh15199,26000.0,,27.0,False
veh15204,26005.0,,761.0,False
